Player Name,Player Jersey Number,Player Position,Player Age,Player Weight (lbs.),Years Played,"Player Birthplace (city, town, etc.)",Player Birth State,Player College,Player Team,Conference,State GEO ID,Full GEOID,Latitude (player birthplace),Longitude (player birthplace)
Torrey Smith,#82,WR/PR,28,205,7,Fredericksburg,Virginia,Maryland,Philadelphia,NFC,51,0400000US51,38.303184,-77.46054
LeGarrette Blount,#29,RB,31,250,8,Madison city,Florida,Oregon,Philadelphia,NFC,12,0400000US12,30.451435,-83.452452
Corey Graham,#24,S/FS,32,196,11,Buffalo,New York,New Hampshire,Philadelphia,NFC,36,0400000US36,42.886717,-78.878392
Elijah Qualls,#98,DT/LDT,22,321,R,Petaluma,California,Washington,Philadelphia,NFC,6,0400000US06,38.295411,-122.613693
Marcus Johnson,#14,WR,23,204,1,League City,Texas,Texas,Philadelphia,NFC,48,0400000US48,29.516313,-95.087958
Dannell Ellerbe,#57,LB/MLB,32,245,9,Hamlet,North Carolina,Georgia,Philadelphia,NFC,37,0400000US37,34.884878,-79.694222
Rasul Douglas,#32,CB/RCB,22,209,R,East Orange,New Jersey,West Virginia,Philadelphia,NFC,34,0400000US34,40.767323,-74.204868
Nathan Gerry,#47,LB/RLB,22,218,R,Sioux Falls,South Dakota,Nebraska,Philadelphia,NFC,46,0400000US46,43.549975,-96.700327
Aziz Shittu,#98,DT,23,288,1,Merced,California,Stanford,Philadelphia,NFC,6,0400000US06,37.302957,-120.484327
Timmy Jernigan,#93,DT/RDT,25,295,4,Lake City,Florida,Florida State,Philadelphia,NFC,12,0400000US12,30.189676,-82.63929
Chance Warmack,#67,G/LOG,26,323,5,Atlanta,Georgia,Alabama,Philadelphia,NFC,13,0400000US13,33.749099,-84.390185
Dom Williams,#80,WR,27,200,1,Pomona,California,Washington State,Philadelphia,NFC,6,0400000US06,34.055289,-117.752279
Brandon Graham,#55,DE/LDE,29,265,8,Detroit,Michigan,Michigan,Philadelphia,NFC,26,0400000US26,42.348664,-83.056737
Trey Burton,#88,TE,26,235,4,Venice,Florida,Florida,Philadelphia,NFC,12,0400000US12,27.099871,-82.454413
Beau Allen,#94,DT/RDT,26,327,4,Minnetonka,Minnesota,Wisconsin,Philadelphia,NFC,27,0400000US27,44.912723,-93.499059
Steven Means,#51,DE/RDE,27,263,3,Buffalo,New York,Buffalo,Philadelphia,NFC,36,0400000US36,42.886717,-78.878392
Alshon Jeffery,#17,WR,27,218,6,St. Matthews,South Carolina,South Carolina,Philadelphia,NFC,45,0400000US45,33.664876,-80.777868
